Ind.,Individual,Side,Rep,ValueFWAM
5,A,I,1,5.34
5,A,I,2,5.69
5,A,I,3,5.67
5,A,D,1,5.33
5,A,D,2,5.34
5,A,D,3,5.66
6,B,I,1,4.97
6,B,I,2,5.18
6,B,I,3,5.02
6,B,D,1,4.91
6,B,D,2,4.86
6,B,D,3,4.89
18,C,I,1,4.15
18,C,I,2,4.18
18,C,I,3,4.2
18,C,D,1,4.23
18,C,D,2,4.21
18,C,D,3,4.25
21,D,I,1,4.14
21,D,I,2,4.09
21,D,I,3,4.18
21,D,D,1,4.07
21,D,D,2,3.97
21,D,D,3,4.06
24,E,I,1,4.08
24,E,I,2,4.04
24,E,I,3,4.06
24,E,D,1,4.01
24,E,D,2,3.97
24,E,D,3,4.04
28,F,I,1,4.4
28,F,I,2,4.43
28,F,I,3,4.41
28,F,D,1,4.29
28,F,D,2,4.28
28,F,D,3,4.49
35,G,I,1,4.45
35,G,I,2,4.46
35,G,I,3,4.33
35,G,D,1,4.44
35,G,D,2,4.45
35,G,D,3,4.43
37,H,I,1,4.75
37,H,I,2,4.76
37,H,I,3,4.66
37,H,D,1,4.82
37,H,D,2,4.82
37,H,D,3,4.79
38,I,I,1,5.01
38,I,I,2,4.99
38,I,I,3,5.03
38,I,D,1,4.78
38,I,D,2,4.89
38,I,D,3,4.87
54,J,I,1,4.35
54,J,I,2,4.36
54,J,I,3,4.37
54,J,D,1,4.37
54,J,D,2,4.43
54,J,D,3,4.43
56,K,I,1,4.56
56,K,I,2,4.6
56,K,I,3,4.61
56,K,D,1,4.72
56,K,D,2,4.76
56,K,D,3,4.75
57,L,I,1,4.84
57,L,I,2,4.85
57,L,I,3,4.88
57,L,D,1,4.96
57,L,D,2,4.96
57,L,D,3,4.99
64,M,I,1,4.53
64,M,I,2,4.52
64,M,I,3,4.49
64,M,D,1,4.41
64,M,D,2,4.45
64,M,D,3,4.45
65,N,I,1,4.16
65,N,I,2,4.15
65,N,I,3,4.16
65,N,D,1,4.22
65,N,D,2,4.17
65,N,D,3,4.17
66,O,I,1,4.53
66,O,I,2,4.5
66,O,I,3,4.5
66,O,D,1,4.57
66,O,D,2,4.48
66,O,D,3,4.5
67,P,I,1,4.39
67,P,I,2,4.43
67,P,I,3,4.43
67,P,D,1,4.47
67,P,D,2,4.48
67,P,D,3,4.46
68,Q,I,1,3.93
68,Q,I,2,3.89
68,Q,I,3,3.87
68,Q,D,1,3.86
68,Q,D,2,3.85
68,Q,D,3,3.88
80,R,I,1,4.21
80,R,I,2,4.18
80,R,I,3,4.21
80,R,D,1,4.32
80,R,D,2,4.34
80,R,D,3,4.32
85,S,I,1,4.55
85,S,I,2,4.57
85,S,I,3,4.56
85,S,D,1,4.52
85,S,D,2,4.58
85,S,D,3,4.61
94,T,I,1,4.03
94,T,I,2,4.08
94,T,I,3,4.13
94,T,D,1,4.07
94,T,D,2,4.12
94,T,D,3,4.11
99,U,I,1,4.49
99,U,I,2,4.45
99,U,I,3,4.47
99,U,D,1,4.57
99,U,D,2,4.59
99,U,D,3,4.58
106,V,I,1,4.15
106,V,I,2,4.19
106,V,I,3,4.23
106,V,D,1,4.56
106,V,D,2,4.52
106,V,D,3,4.52
107,W,I,1,4.14
107,W,I,2,4.15
107,W,I,3,4.13
107,W,D,1,4.1
107,W,D,2,4.09
107,W,D,3,4.11
120,X,I,1,4.64
120,X,I,2,4.51
120,X,I,3,4.55
120,X,D,1,4.77
120,X,D,2,4.74
120,X,D,3,4.75
126,Y,I,1,4.87
126,Y,I,2,4.86
126,Y,I,3,4.87
126,Y,D,1,4.86
126,Y,D,2,4.93
126,Y,D,3,4.93
127,Z,I,1,4.39
127,Z,I,2,4.39
127,Z,I,3,4.42
127,Z,D,1,4.4
127,Z,D,2,4.46
127,Z,D,3,4.46
131,AA,I,1,3.92
131,AA,I,2,3.87
131,AA,I,3,3.87
131,AA,D,1,3.85
131,AA,D,2,3.87
131,AA,D,3,3.88
133,BB,I,1,3.6
133,BB,I,2,3.55
133,BB,I,3,3.57
133,BB,D,1,3.6
133,BB,D,2,3.64
133,BB,D,3,3.63
135,CC,I,1,4.75
135,CC,I,2,4.79
135,CC,I,3,4.76
135,CC,D,1,4.69
135,CC,D,2,4.67
135,CC,D,3,4.67
136,DD,I,1,4.12
136,DD,I,2,4.1
136,DD,I,3,4.14
136,DD,D,1,4.16
136,DD,D,2,4.17
136,DD,D,3,4.15
139,EE,I,1,4.11
139,EE,I,2,4.09
139,EE,I,3,4.1
139,EE,D,1,4.11
139,EE,D,2,4.09
139,EE,D,3,4.12
