Ind.,Individual,Side,Rep,ValueFWLM
6,A,I,1,4.21
6,A,I,2,4.2
6,A,I,3,4.13
6,A,D,1,4.12
6,A,D,2,4.09
6,A,D,3,4.14
18,B,I,1,3.58
18,B,I,2,3.62
18,B,I,3,3.63
18,B,D,1,3.64
18,B,D,2,3.62
18,B,D,3,3.62
21,C,I,1,3.56
21,C,I,2,3.65
21,C,I,3,3.66
21,C,D,1,3.54
21,C,D,2,3.57
21,C,D,3,3.57
24,D,I,1,3.56
24,D,I,2,3.63
24,D,I,3,3.63
24,D,D,1,3.53
24,D,D,2,3.61
24,D,D,3,3.68
28,E,I,1,3.76
28,E,I,2,3.76
28,E,I,3,3.76
28,E,D,1,3.74
28,E,D,2,3.8
28,E,D,3,3.75
35,F,I,1,3.83
35,F,I,2,3.87
35,F,I,3,3.84
35,F,D,1,3.78
35,F,D,2,3.83
35,F,D,3,3.82
37,G,I,1,3.92
37,G,I,2,3.96
37,G,I,3,3.92
37,G,D,1,3.94
37,G,D,2,3.94
37,G,D,3,3.92
38,H,I,1,3.91
38,H,I,2,3.97
38,H,I,3,3.95
38,H,D,1,3.86
38,H,D,2,3.92
38,H,D,3,3.93
54,I,I,1,3.68
54,I,I,2,3.73
54,I,I,3,3.73
54,I,D,1,3.75
54,I,D,2,3.7
54,I,D,3,3.7
56,J,I,1,3.91
56,J,I,2,3.9
56,J,I,3,3.96
56,J,D,1,3.87
56,J,D,2,4
56,J,D,3,3.95
57,K,I,1,3.94
57,K,I,2,3.91
57,K,I,3,3.99
57,K,D,1,4.07
57,K,D,2,4
57,K,D,3,4
64,L,I,1,3.88
64,L,I,2,3.79
64,L,I,3,3.79
64,L,D,1,3.72
64,L,D,2,3.77
64,L,D,3,3.79
65,M,I,1,3.77
65,M,I,2,3.73
65,M,I,3,3.74
65,M,D,1,3.72
65,M,D,2,3.67
65,M,D,3,3.72
66,N,I,1,3.71
66,N,I,2,3.72
66,N,I,3,3.73
66,N,D,1,3.69
66,N,D,2,3.71
66,N,D,3,3.71
67,O,I,1,3.74
67,O,I,2,3.76
67,O,I,3,3.73
67,O,D,1,3.82
67,O,D,2,3.87
67,O,D,3,3.83
68,P,I,1,3.5
68,P,I,2,3.51
68,P,I,3,3.48
68,P,D,1,3.4
68,P,D,2,3.44
68,P,D,3,3.47
80,Q,I,1,3.72
80,Q,I,2,3.65
80,Q,I,3,3.68
80,Q,D,1,3.71
80,Q,D,2,3.67
80,Q,D,3,3.68
85,R,I,1,3.81
85,R,I,2,3.81
85,R,I,3,3.86
85,R,D,1,3.79
85,R,D,2,3.85
85,R,D,3,3.85
94,S,I,1,3.61
94,S,I,2,3.62
94,S,I,3,3.65
94,S,D,1,3.73
94,S,D,2,3.65
94,S,D,3,3.65
99,T,I,1,3.85
99,T,I,2,3.82
99,T,I,3,3.84
99,T,D,1,3.81
99,T,D,2,3.83
99,T,D,3,3.83
106,U,I,1,3.78
106,U,I,2,3.77
106,U,I,3,3.81
106,U,D,1,3.78
106,U,D,2,3.76
106,U,D,3,3.79
107,V,I,1,3.65
107,V,I,2,3.67
107,V,I,3,3.66
107,V,D,1,3.68
107,V,D,2,3.65
107,V,D,3,3.65
120,W,I,1,3.84
120,W,I,2,3.78
120,W,I,3,3.8
120,W,D,1,3.9
120,W,D,2,3.85
120,W,D,3,3.85
126,X,I,1,3.94
126,X,I,2,3.94
126,X,I,3,3.97
126,X,D,1,3.98
126,X,D,2,4
126,X,D,3,3.99
127,Y,I,1,3.71
127,Y,I,2,3.77
127,Y,I,3,3.74
127,Y,D,1,3.79
127,Y,D,2,3.78
127,Y,D,3,3.79
131,Z,I,1,3.54
131,Z,I,2,3.55
131,Z,I,3,3.54
131,Z,D,1,3.56
131,Z,D,2,3.53
131,Z,D,3,3.54
133,AA,I,1,3.4
133,AA,I,2,3.37
133,AA,I,3,3.39
133,AA,D,1,3.58
133,AA,D,2,3.48
133,AA,D,3,3.5
135,BB,I,1,3.74
135,BB,I,2,3.83
135,BB,I,3,3.8
135,BB,D,1,3.74
135,BB,D,2,3.79
135,BB,D,3,3.87
136,CC,I,1,3.62
136,CC,I,2,3.65
136,CC,I,3,3.65
136,CC,D,1,3.67
136,CC,D,2,3.65
136,CC,D,3,3.68
139,DD,I,1,3.7
139,DD,I,2,3.67
139,DD,I,3,3.67
139,DD,D,1,3.66
139,DD,D,2,3.66
139,DD,D,3,3.67
