Indv.,Individual,Side,Rep,ValueHWAF
8,A,I,1,0.12
8,A,I,2,0.12
8,A,I,3,0.12
8,A,D,1,0.12
8,A,D,2,0.12
8,A,D,3,0.12
29,B,I,1,0.14
29,B,I,2,0.15
29,B,I,3,0.14
29,B,D,1,0.15
29,B,D,2,0.14
29,B,D,3,0.15
39,C,I,1,0.12
39,C,I,2,0.12
39,C,I,3,0.12
39,C,D,1,0.12
39,C,D,2,0.12
39,C,D,3,0.12
52,D,I,1,0.13
52,D,I,2,0.13
52,D,I,3,0.13
52,D,D,1,0.12
52,D,D,2,0.12
52,D,D,3,0.12
69,E,I,1,0.1
69,E,I,2,0.1
69,E,I,3,0.1
69,E,D,1,0.1
69,E,D,2,0.1
69,E,D,3,0.1
76,F,I,1,0.14
76,F,I,2,0.14
76,F,I,3,0.14
76,F,D,1,0.14
76,F,D,2,0.14
76,F,D,3,0.13
77,G,I,1,0.13
77,G,I,2,0.13
77,G,I,3,0.13
77,G,D,1,0.12
77,G,D,2,0.12
77,G,D,3,0.12
82,H,I,1,0.13
82,H,I,2,0.13
82,H,I,3,0.13
82,H,D,1,0.12
82,H,D,2,0.12
82,H,D,3,0.12
84,I,I,1,0.14
84,I,I,2,0.14
84,I,I,3,0.14
84,I,D,1,0.14
84,I,D,2,0.14
84,I,D,3,0.14
92,J,I,1,0.12
92,J,I,2,0.12
92,J,I,3,0.12
92,J,D,1,0.11
92,J,D,2,0.11
92,J,D,3,0.11
95,K,I,1,0.15
95,K,I,2,0.15
95,K,I,3,0.15
95,K,D,1,0.16
95,K,D,2,0.16
95,K,D,3,0.16
104,L,I,1,0.14
104,L,I,2,0.14
104,L,I,3,0.14
104,L,D,1,0.13
104,L,D,2,0.13
104,L,D,3,0.13
129,M,I,1,0.15
129,M,I,2,0.15
129,M,I,3,0.15
129,M,D,1,0.16
129,M,D,2,0.16
129,M,D,3,0.16
137,N,I,1,0.12
137,N,I,2,0.12
137,N,I,3,0.12
137,N,D,1,0.12
137,N,D,2,0.12
137,N,D,3,0.12
142,O,I,1,0.14
142,O,I,2,0.14
142,O,I,3,0.14
142,O,D,1,0.14
142,O,D,2,0.14
142,O,D,3,0.14
143,P,I,1,0.14
143,P,I,2,0.14
143,P,I,3,0.14
143,P,D,1,0.15
143,P,D,2,0.15
143,P,D,3,0.15
30,Q,I,1,0.14
30,Q,I,2,0.14
30,Q,I,3,0.14
30,Q,D,1,0.15
30,Q,D,2,0.14
30,Q,D,3,0.15
70,R,I,1,0.1
70,R,I,2,0.1
70,R,I,3,0.11
70,R,D,1,0.11
70,R,D,2,0.12
70,R,D,3,0.11
109,S,I,1,0.14
109,S,I,2,0.15
109,S,I,3,0.15
109,S,D,1,0.16
109,S,D,2,0.16
109,S,D,3,0.16
111,T,I,1,0.13
111,T,I,2,0.13
111,T,I,3,0.14
111,T,D,1,0.13
111,T,D,2,0.13
111,T,D,3,0.13
112,U,I,1,0.14
112,U,I,2,0.14
112,U,I,3,0.14
112,U,D,1,0.14
112,U,D,2,0.14
112,U,D,3,0.14
116,V,I,1,0.13
116,V,I,2,0.13
116,V,I,3,0.13
116,V,D,1,0.12
116,V,D,2,0.12
116,V,D,3,0.12
128,W,I,1,0.16
128,W,I,2,0.16
128,W,I,3,0.16
128,W,D,1,0.16
128,W,D,2,0.16
128,W,D,3,0.16
138,X,I,1,0.14
138,X,I,2,0.14
138,X,I,3,0.14
138,X,D,1,0.14
138,X,D,2,0.14
138,X,D,3,0.14
141,Y,I,1,0.11
141,Y,I,2,0.11
141,Y,I,3,0.11
141,Y,D,1,0.11
141,Y,D,2,0.11
141,Y,D,3,0.11
144,Z,I,1,0.14
144,Z,I,2,0.14
144,Z,I,3,0.14
144,Z,D,1,0.13
144,Z,D,2,0.13
144,Z,D,3,0.13
145,AA,I,1,0.11
145,AA,I,2,0.11
145,AA,I,3,0.11
145,AA,D,1,0.11
145,AA,D,2,0.11
145,AA,D,3,0.11
146,BB,I,1,0.11
146,BB,I,2,0.11
146,BB,I,3,0.11
146,BB,D,1,0.11
146,BB,D,2,0.11
146,BB,D,3,0.11
