Individual,Side,Rep,ValueHWLF
8,I,1,0.64
8,I,2,0.64
8,I,3,0.63
8,D,1,0.6
8,D,2,0.63
8,D,3,0.63
29,I,1,0.66
29,I,2,0.66
29,I,3,0.63
29,D,1,0.63
29,D,2,0.64
29,D,3,0.66
30,I,1,0.68
30,I,2,0.68
30,I,3,0.68
30,D,1,0.64
30,D,2,0.65
30,D,3,0.67
39,I,1,0.62
39,I,2,0.62
39,I,3,0.62
39,D,1,0.63
39,D,2,0.64
39,D,3,0.63
44,I,1,0.68
44,I,2,0.7
44,I,3,0.7
44,D,1,0.7
44,D,2,0.71
44,D,3,0.7
52,I,1,0.62
52,I,2,0.62
52,I,3,0.62
52,D,1,0.58
52,D,2,0.59
52,D,3,0.59
69,I,1,0.56
69,I,2,0.56
69,I,3,0.56
69,D,1,0.54
69,D,2,0.56
69,D,3,0.56
70,I,1,0.6
70,I,2,0.6
70,I,3,0.6
70,D,1,0.61
70,D,2,0.62
70,D,3,0.6
76,I,1,0.67
76,I,2,0.68
76,I,3,0.67
76,D,1,0.66
76,D,2,0.66
76,D,3,0.65
77,I,1,0.59
77,I,2,0.6
77,I,3,0.6
77,D,1,0.6
77,D,2,0.61
77,D,3,0.6
82,I,1,0.64
82,I,2,0.63
82,I,3,0.6
82,D,1,0.61
82,D,2,0.6
82,D,3,0.6
84,I,1,0.65
84,I,2,0.64
84,I,3,0.65
84,D,1,0.64
84,D,2,0.63
84,D,3,0.64
87,I,1,0.76
87,I,2,0.77
87,I,3,0.78
87,D,1,0.78
87,D,2,0.77
87,D,3,0.77
92,I,1,0.62
92,I,2,0.62
92,I,3,0.62
92,D,1,0.6
92,D,2,0.61
92,D,3,0.61
95,I,1,0.73
95,I,2,0.71
95,I,3,0.72
95,D,1,0.75
95,D,2,0.73
95,D,3,0.72
104,I,1,0.67
104,I,2,0.66
104,I,3,0.66
104,D,1,0.67
104,D,2,0.65
104,D,3,0.65
109,I,1,0.69
109,I,2,0.7
109,I,3,0.7
109,D,1,0.7
109,D,2,0.7
109,D,3,0.71
111,I,1,0.63
111,I,2,0.63
111,I,3,0.64
111,D,1,0.65
111,D,2,0.64
111,D,3,0.64
112,I,1,0.7
112,I,2,0.71
112,I,3,0.72
112,D,1,0.66
112,D,2,0.67
112,D,3,0.67
116,I,1,0.62
116,I,2,0.62
116,I,3,0.62
116,D,1,0.63
116,D,2,0.62
116,D,3,0.63
128,I,1,0.71
128,I,2,0.71
128,I,3,0.71
128,D,1,0.72
128,D,2,0.71
128,D,3,0.72
129,I,1,0.7
129,I,2,0.7
129,I,3,0.69
129,D,1,0.71
129,D,2,0.72
129,D,3,0.73
137,I,1,0.62
137,I,2,0.6
137,I,3,0.61
137,D,1,0.6
137,D,2,0.61
137,D,3,0.61
138,I,1,0.68
138,I,2,0.68
138,I,3,0.68
138,D,1,0.69
138,D,2,0.67
138,D,3,0.68
141,I,1,0.59
141,I,2,0.6
141,I,3,0.59
141,D,1,0.58
141,D,2,0.57
141,D,3,0.57
142,I,1,0.66
142,I,2,0.65
142,I,3,0.65
142,D,1,0.64
142,D,2,0.63
142,D,3,0.63
143,I,1,0.68
143,I,2,0.66
143,I,3,0.67
143,D,1,0.69
143,D,2,0.66
143,D,3,0.67
144,I,1,0.71
144,I,2,0.69
144,I,3,0.7
144,D,1,0.68
144,D,2,0.67
144,D,3,0.67
145,I,1,0.62
145,I,2,0.62
145,I,3,0.61
145,D,1,0.59
145,D,2,0.6
145,D,3,0.6
146,I,1,0.59
146,I,2,0.59
146,I,3,0.6
146,D,1,0.57
146,D,2,0.58
146,D,3,0.59
