Month,Type,Biomass
Jan,Emergent,0.646911686
Feb,Emergent,1.023000222
Mar,Emergent,0.766793472
Apr,Emergent,0.172000871
May,Emergent,0.401435314
Jun,Emergent,2.740801861
Jul,Emergent,0.635598055
Aug,Emergent,0.886580764
Sep,Emergent,0.428991614
Oct,Emergent,0.528515201
Nov,Emergent,0
Dec,Emergent,0.905516972
Jan,Benthic,0
Feb,Benthic,1.944048572
Mar,Benthic,10.1250072
Apr,Benthic,0
May,Benthic,0
Jun,Benthic,1.944048572
Jul,Benthic,9.42121481
Aug,Benthic,0.265
Sep,Benthic,6.236910059
Oct,Benthic,3.417099211
Nov,Benthic,0.830111732
Dec,Benthic,3.212637399
